text;header
Congratulations You've been selected for an exclusive offer;malicious
Hi there this is Rajid from Microsoft We have a special deal just for you;malicious
This is an important message regarding your account security;malicious
You've won a free vacation Press 1 to claim your prize;malicious
We noticed some suspicious activity on your account Please verify your details;malicious
This is your final notice to claim your reward;malicious
Hello this is Jose from the IRS We need to discuss your tax status;malicious
You are eligible for a low-interest credit card offer;malicious
This is an urgent call about your computer's security;malicious
We have an amazing investment opportunity just for you;malicious
You've been pre-approved for a loan Press 2 to speak with an agent;malicious
This is Microsoft Support Your computer has been compromised;malicious
You've won a free gift card Just answer a few questions to claim it;malicious
This is an important message about your warranty expiring soon;malicious
Hello this is Paypal We need to update your software;malicious
You've been selected for a government grant Press 1 to proceed;malicious
This is an urgent message about your social security number;malicious
We have a special offer on insurance plans just for you;malicious
This is mister Cunningham from Lehman Brothers There's been unusual activity on your account;malicious
You've won a free cruise Just pay the port fees to claim it;malicious
This is an important message about your health insurance;malicious
Hello this is Michaela from Greenpeace We need your donation today;malicious
You've been selected for a free trial of our product;malicious
This is Rania from Tesla We need to confirm your personal details;malicious
You've won a free shopping spree Press 1 to claim your prize now;malicious
This is Elon Musk I'm giving away free Teslas to random people You're one of them;malicious
You've inherited a castle in Scotland Please provide your details to claim it;malicious
You've won a lifetime supply of chocolate Press 1 to claim your delicious prize;malicious
You've been selected to be the next queen of a tropical island;malicious
This is a call from the International Space Station We have an offer you can't refuse;malicious
Hi this is Sarah from customer service How are you doing today;malicious
Hello we're offering a limited-time discount on our products just for you;malicious
This is Mark from tech support We've detected a virus on your computer;malicious
Hi there we have an exclusive deal on insurance plans for you today;malicious
Hello this is Jessica calling from card member services;malicious
Hi this is Alex from your mobile service provider You're eligible for an upgrade;malicious
Hello we're conducting a survey and would love to hear your feedback;malicious
This is Emily from the warranty department Your warranty is about to expire;malicious
Hi this is Michael from the business services division We have an offer for you;malicious
Hello this is Laura from the credit card services You've been pre-approved for a credit limit increase;malicious
Hi there this is David from the loan department You're eligible for a low-interest loan;malicious
Hello this is Olivia from the health services We have a special offer on health insurance for you;malicious
Hi this is Daniel from the security department We need to verify some recent activity on your account;malicious
Hello this is Sophia from customer loyalty You have rewards waiting for you;malicious
This is James from the travel services You've won a free vacation package;malicious
Hi this is Emma from the utility company We can lower your monthly bill;malicious
Hello this is Liam from the investment firm We have a great opportunity for you;malicious
